family,number,id,name,description,type,status,placeholder_values,profile_notes,page
AC,01,ac-1,Access control policy and procedures,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational
entities, and compliance
b. is consistent with applicable laws, Orders in Council, jurisprudence, directives, regulations, policies, standards, and
guidelines
2. procedures to facilitate the implementation of the access control policy and the associated access controls
B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and
dissemination of the access control policy and procedures.
C. Review and update the current access control:
1. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
2. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",Activity,Selected,"C.1 C.2 frequency [at a
frequency no longer than
annually]",NA,16
AC,02,ac-2,Account management,"A. Define and document the types of accounts allowed and specifically prohibited for use within the system.
B. Assign account managers and data custodians.
C. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership.
D. Specify:
1. authorized users of the system
2. group and role membership
3. access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account
E. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts.
F. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy,
procedures, prerequisites, and criteria].
G. Monitor the use of accounts.
H. Notify account managers and [Assignment: organization-defined personnel or roles] within:
1. [Assignment: organization-defined time period] when accounts are no longer required or dormant
2. [Assignment: organization-defined time period] when users are terminated or transferred
3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual
I. Authorize access to the system based on:
1. a valid access authorization
16
2. intended system usage
3. [Assignment: organization-defined attributes (as required)]
J. Periodically review accounts for compliance with account management requirements [Assignment: organization-
defined frequency].
K. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals
are removed from the group.
L. Align account management processes with personnel termination and transfer processes.",Control,Selected,"(J) frequency [at a
frequency no longer than
monthly]",NA,16
AC,02(01),ac-2.1,Account management,"Account management: Automated system account management
Support the management of system accounts using [Assignment: organization-defined automated mechanisms].",Control,Selected,NA,NA,17
AC,02(02),ac-2.2,Account management,"Account management: Automated temporary and emergency account management
Automatically [Selection (one): remove; disable] temporary and emergency accounts after [Assignment: organization-
defined time period for each type of account].",Control,Selected,"time period [not to exceed
48 hours after no longer
being required]",NA,17
AC,02(03),ac-2.3,Account management,"Account management: Disable accounts
Disable accounts within [Assignment: organization-defined time period] when the accounts:
a. have expired
b. are no longer associated with a user or individual
c. are in violation of organizational policy
d. have been inactive for [Assignment: organization-defined time period]",Control,Selected,"a. b. time period [not to
exceed 30 days]
c. time period [not to
exceed 24 hours]",NA,17
AC,02(04),ac-2.4,Account management,"Account management: Automated audit actions
Automatically audit account creation, modification, enabling, disabling, and removal actions.",Control,Selected,NA,NA,17
AC,02(05),ac-2.5,Account management,"Account management: Inactivity logout
Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of
when to log out].",Control,Selected,NA,NA,17
AC,02(06),ac-2.6,Account management,"Account management: Dynamic privilege management
Implement [Assignment: organization-defined dynamic privilege management capabilities].",Control,Not selected,NA,NA,17
AC,02(07),ac-2.7,Account management,"Account management: Privileged user accounts
a. Establish and administer privileged user accounts in accordance with [Selection (one): a role-based access scheme; an
attribute-based access scheme].
b. Monitor privileged role or attribute assignments.
c. Monitor changes to roles or attributes.
d. Revoke access when privileged role or attribute assignments are no longer appropriate.",Control,Selected,NA,NA,17
AC,02(08),ac-2.8,Account management,"Account management: Dynamic account management
Create, activate, manage, and deactivate [Assignment: organization-defined system accounts] dynamically.",Control,Not selected,NA,NA,17
AC,02(09),ac-2.9,Account management,"Account management: Restrictions on use of shared and group accounts
Only permit the use of shared and group accounts that meet [Assignment: organization-defined conditions for
establishing shared and group accounts].",Control,Not selected,NA,NA,17
AC,02(10),ac-2.10,Account management,"Account management: Shared / group account credential termination
Withdrawn: Incorporated into AC-2K.",NA,Selected,NA,NA,17
AC,02(11),ac-2.11,Account management,"Account management: Usage conditions
Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined
system accounts].",Control,Not selected,NA,NA,18
AC,02(12),ac-2.12,Account management,"Account management: Account monitoring for atypical usage
a. Monitor system accounts for [Assignment: organization-defined atypical usage].
b. Report atypical usage of system accounts to [Assignment: organization-defined personnel or roles].",Control,Not selected,NA,NA,18
AC,02(13),ac-2.13,Account management,"Account management: Disable accounts for high-risk individuals
Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment:
organization-defined significant risks].",Control,Selected,NA,NA,18
AC,03,ac-3,Access enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable
access control policies.",Control,Selected,NA,NA,18
AC,03(01),ac-3.1,Access enforcement,"Access enforcement: Restricted access to privileged functions
Withdrawn: Incorporated into AC-06.",NA,NA,NA,NA,18
AC,03(02),ac-3.2,Access enforcement,"Access enforcement: Dual authorization
Enforce dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined
actions].",Control,Selected,"[1] privileged commands
[creation and deletion of
PKI officers and
administrators accounts]
[2] actions [examples are:
PKI changes to
administrators and
security officers; global
administrator actions in
cloud tenancies; domain
administrator actions in
single-forest systems]","Organizations must
assess which
administrative actions are
capable of creating the
entire available Injury.
These actions are
candidates for dual
authorization.",18
AC,03(03),ac-3.3,Access enforcement,"Access enforcement: Mandatory access control
Enforce [Assignment: organization-defined mandatory access control policy] over the set of covered subjects and objects
specified in the policy, and where the policy:
a. is uniformly enforced across the covered subjects and objects within the system
b. specifies that a subject that has been granted access to information is constrained from doing any of the following;
1) passing the information to unauthorized subjects or objects
2) granting its privileges to other subjects
3) changing one or more security attributes (specified by the policy) on subjects, objects, the system, or system
components
4) choosing the security attributes and attribute values (specified by the policy) to be associated with newly created or
modified objects
5) changing the rules governing access control
c. specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined
privileges] such that they are not limited by any defined subset (or all) of the above constraints",Control,Not selected,NA,NA,18
AC,03(04),ac-3.4,Access enforcement,"Access enforcement: Discretionary access control
Enforce [Assignment: organization-defined discretionary access control policy] over the set of covered subjects and
objects specified in the policy, and where the policy specifies that a subject that has been granted access to information
can do one or more of the following:
a. pass the information to any other subjects or objects
b. grant its privileges to other subjects
c. change security attributes on subjects, objects, the system, or the system’s components
d. choose the security attributes to be associated with newly created or revised objects
e. change the rules governing access control",Control,Selected,NA,"Control enhancement (04)
clarifies the Access
Enforcement security
control by detailing the
policy that should be used
for access enforcement to
Protected B information.
That is, while the system
may be authorized to
process PB, not all
information will
necessarily be PB.
Therefore, DAC will be
used to establish and
enforce access controls
over PB information to
“need to know.”
Examples of DAC include
Windows groups (at the
file object level) and
document management
systems that allow
document access
permissions to be
modified by the owner.",19
AC,03(05),ac-3.5,Access enforcement,"Access enforcement: Security-relevant information
Prevent access to [Assignment: organization-defined security-relevant information] except during secure, non-operable
system states.",Control,Not selected,NA,NA,19
AC,03(06),ac-3.6,Access enforcement,"Access enforcement: Protection of user and system information
Withdrawn: Incorporated into MP-04 and SC-28.",NA,NA,NA,NA,19
AC,03(07),ac-3.7,Access enforcement,"Access enforcement: Role-based access control
Enforce a role-based access control policy over defined subjects and objects and control access based upon
[Assignment: organization-defined roles and users authorized to assume such roles].",Control,Not selected,NA,NA,19
AC,03(08),ac-3.8,Access enforcement,"Access enforcement: Revocation of access authorizations
Enforce the revocation of access authorizations resulting from changes to the security attributes of subjects and objects
based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations].",Control,Not selected,NA,NA,19
AC,03(09),ac-3.9,Access enforcement,"Access enforcement: Controlled release
Release information outside of the system only if:
a. the receiving [Assignment: organization-defined system or system component] provides [Assignment: organization-
defined controls]
b. [Assignment: organization-defined controls] are used to validate the appropriateness of the information designated for
release",Control,Selected,NA,NA,19
AC,03(10),ac-3.10,Access enforcement,"Access enforcement: Audited override of access control mechanisms
Employ an audited override of automated access control mechanisms under [Assignment: organization-defined
conditions] by [Assignment: organization-defined roles].",Control,Not selected,NA,NA,20
AC,03(11),ac-3.11,Access enforcement,"Access enforcement: Restrict access to specific information types
Restrict access to data repositories containing [Assignment: organization-defined information types].",Control,Not selected,NA,NA,20
AC,03(12),ac-3.12,Access enforcement,"Access enforcement: Assert and enforce application access
a. Require applications to assert, as part of the installation process, the access needed to the following system
applications and functions: [Assignment: organization-defined system applications and functions].
b. Provide an enforcement mechanism to prevent unauthorized access.
c. Approve access changes after initial installation of the application.",Control,Not selected,NA,NA,20
AC,03(13),ac-3.13,Access enforcement,"Access enforcement: Attribute-based access control
Enforce attribute-based access control policy over defined subjects and objects and control access based upon
[Assignment: organization-defined attributes to assume access permissions].",Control,Not selected,NA,NA,20
AC,03(14),ac-3.14,Access enforcement,"Access enforcement: Individual access
Provide [Assignment: organization-defined mechanisms] to enable individuals to have access to the following elements of
their personal information: [Assignment: organization-defined elements].",Control,Not selected,NA,NA,20
AC,03(15),ac-3.15,Access enforcement,"Access enforcement: Discretionary and mandatory access control
a. Enforce [Assignment: organization-defined mandatory access control policy] over the set of covered subjects and
objects specified in the policy.
b. Enforce [Assignment: organization-defined discretionary access control policy] over the set of covered subjects and
objects specified in the policy.",Control,Not selected,NA,NA,20
AC,04,ac-4,Information flow enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected
systems based on [Assignment: organization-defined information flow control policies].",Control,Selected,NA,NA,20
AC,04(01),ac-4.1,Information flow enforcement,"Information flow enforcement: Object security and privacy attributes
Use [Assignment: organization-defined security and privacy attributes] associated with [Assignment: organization-defined
information, source, and destination objects] to enforce [Assignment: organization-defined information flow control
policies] as a basis for flow control decisions.",Control,Not selected,NA,NA,20
AC,04(02),ac-4.2,Information flow enforcement,"Information flow enforcement: Processing domains
Use protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a
basis for flow control decisions.",Control,Not selected,NA,NA,20
AC,04(03),ac-4.3,Information flow enforcement,"Information flow enforcement: Dynamic information flow control
Enforce [Assignment: organization-defined information flow control policies].",Control,Not selected,NA,NA,20
AC,04(04),ac-4.4,Information flow enforcement,"Information flow enforcement: Flow control of encrypted information
Prevent encrypted information from bypassing [Assignment: organization-defined information flow control mechanisms]
by [Selection (one or more): decrypting the information; blocking the flow of the encrypted information; terminating
communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or
method]].",Control,Not selected,NA,NA,21
AC,04(05),ac-4.5,Information flow enforcement,"Information flow enforcement: Embedded data types
Enforce [Assignment: organization-defined limitations] on embedding data types within other data types.",Control,Not selected,NA,NA,21
AC,04(06),ac-4.6,Information flow enforcement,"Information flow enforcement: Metadata
Enforce information flow control based on [Assignment: organization-defined metadata].",Control,Not selected,NA,NA,21
AC,04(07),ac-4.7,Information flow enforcement,"Information flow enforcement: One-way flow mechanisms
Enforce one-way information flows through hardware-based flow control mechanisms.",Control,Not selected,NA,NA,21
AC,04(08),ac-4.8,Information flow enforcement,"Information flow enforcement: Security and privacy policy filters
a. Enforce information flow control using [Assignment: organization-defined security or privacy policy filters] as a basis for
flow control decisions for [Assignment: organization-defined information flows].
b. [Selection (one or more): Block; Strip; Modify; Quarantine] data after a filter processing failure in accordance with
[Assignment: organization-defined security or privacy policy].",Control,Not selected,NA,NA,21
AC,04(09),ac-4.9,Information flow enforcement,"Information flow enforcement: Human reviews
Enforce the use of human reviews for [Assignment: organization-defined information flows] under the following
conditions: [Assignment: organization-defined conditions].",Control,Not selected,NA,NA,21
AC,04(10),ac-4.10,Information flow enforcement,"Information flow enforcement: Enable and disable security or privacy policy filters
Provide the capability for privileged administrators to enable and disable [Assignment: organization-defined security or
privacy policy filters] under the following conditions: [Assignment: organization-defined conditions].",Control,Not selected,NA,NA,21
AC,04(11),ac-4.11,Information flow enforcement,"Information flow enforcement: Configuration of security or privacy policy filters
Provide the capability for privileged administrators to configure [Assignment: organization-defined security or privacy
policy filters] to support different security or privacy policies.",Control,Not selected,NA,NA,21
AC,04(12),ac-4.12,Information flow enforcement,"Information flow enforcement: Data type identifiers
When transferring information between different security domains, use [Assignment: organization-defined data type
identifiers] to validate data essential for information flow decisions.",Control,Not selected,NA,NA,21
AC,04(13),ac-4.13,Information flow enforcement,"Information flow enforcement: Decomposition into policy-relevant subcomponents
When transferring information between different security domains, decompose information into [Assignment:
organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms.",Control,Not selected,NA,NA,21
AC,04(14),ac-4.14,Information flow enforcement,"Information flow enforcement: Security or privacy policy filter constraints
When transferring information between different security domains, implement [Assignment: organization-defined security
or privacy policy filters] requiring fully enumerated formats that restrict data structure and content.",Control,Not selected,NA,NA,21
AC,04(15),ac-4.15,Information flow enforcement,"Information flow enforcement: Detection of unsanctioned information
When transferring information between different security domains, examine the information for the presence of
[Assignment: organization-defined unsanctioned information] and prohibit the transfer of such information in accordance
with the [Assignment: organization-defined security or privacy policy].",Control,Not selected,NA,NA,22
AC,04(16),ac-4.16,Information flow enforcement,"Information flow enforcement: Information transfers on interconnected systems
Withdrawn: Incorporated into AC-04.",NA,NA,NA,NA,22
AC,04(17),ac-4.17,Information flow enforcement,"Information flow enforcement: Domain authentication
Uniquely identify and authenticate source and destination points by [Selection (one or more): organization; system;
application; service; individual] for information transfer.",Control,Not selected,NA,NA,22
AC,04(18),ac-4.18,Information flow enforcement,"Information flow enforcement: Security attribute binding
Withdrawn: Incorporated into AC-16.",NA,NA,NA,NA,22
AC,04(19),ac-4.19,Information flow enforcement,"Information flow enforcement: Validation of metadata
When transferring information between different security domains, implement [Assignment: organization-defined security
or privacy policy filters] on metadata.",Control,Not selected,NA,NA,22
AC,04(20),ac-4.20,Information flow enforcement,"Information flow enforcement: Approved solutions
Employ [Assignment: organization-defined solutions in approved configurations] to control the flow of [Assignment:
organization-defined information] across security domains.",Control,Not selected,NA,NA,22
AC,04(21),ac-4.21,Information flow enforcement,"Information flow enforcement: Physical or logical separation of information flows
Separate information flows logically or physically using [Assignment: organization-defined mechanisms and/or
techniques] to accomplish [Assignment: organization-defined required separations by types of information].",Control,Not selected,NA,NA,22
AC,04(22),ac-4.22,Information flow enforcement,"Information flow enforcement: Access only
Provide access from a single device to computing platforms, applications, or data residing in multiple different security
domains, while preventing information flow between the different security domains.",Control,Not selected,NA,NA,22
AC,04(23),ac-4.23,Information flow enforcement,"Information flow enforcement: Modify non-releasable information
When transferring information between different security domains, modify non-releasable information by implementing
[Assignment: organization-defined modification action].",Control,Not selected,NA,NA,22
AC,04(24),ac-4.24,Information flow enforcement,"Information flow enforcement: Internal normalized format
When transferring information between different security domains, parse incoming data into an internal normalized
format and regenerate the data to be consistent with its intended specification.",Control,Not selected,NA,NA,22
AC,04(25),ac-4.25,Information flow enforcement,"Information flow enforcement: Data sanitization
When transferring information between different security domains, sanitize data to minimize [Selection (one or more):
delivery of malicious content, command and control of malicious code, malicious code augmentation, and steganography
encoded data; spillage of sensitive information] in accordance with [Assignment: organization-defined policy].",Control,Not selected,NA,NA,22
AC,04(26),ac-4.26,Information flow enforcement,"Information flow enforcement: Audit filtering actions
When transferring information between different security domains, record and audit content filtering actions and results
for the information being filtered.",Control,Not selected,NA,NA,23
AC,04(27),ac-4.27,Information flow enforcement,"Information flow enforcement: Redundant/independent filtering mechanisms
When transferring information between different security domains, implement content filtering solutions that provide
redundant and independent filtering mechanisms for each data type.",Control,Not selected,NA,NA,23
AC,04(28),ac-4.28,Information flow enforcement,"Information flow enforcement: Linear filter pipelines
When transferring information between different security domains, implement a linear content filter pipeline that is
enforced with discretionary and mandatory access controls.",Control,Not selected,NA,NA,23
AC,04(29),ac-4.29,Information flow enforcement,"Information flow enforcement: Filter orchestration engines
When transferring information between different security domains, employ content filter orchestration engines to ensure
that:
a. Content filtering mechanisms successfully complete execution without errors; and
b. Content filtering actions occur in the correct order and comply with [Assignment: organization-defined policy].",Control,Not selected,NA,NA,23
AC,04(30),ac-4.30,Information flow enforcement,"Information flow enforcement: Filter mechanisms using multiple processes
When transferring information between different security domains, implement content filtering mechanisms using
multiple processes.",Control,Not selected,NA,NA,23
AC,04(31),ac-4.31,Information flow enforcement,"Information flow enforcement: Failed content transfer prevention
When transferring information between different security domains, prevent the transfer of failed content to the receiving
domain.",Control,Not selected,NA,NA,23
AC,04(32),ac-4.32,Information flow enforcement,"Information flow enforcement: Process requirements for information transfer
When transferring information between different security domains, the process that transfers information between filter
pipelines:
a. does not filter message content
b. validates filtering metadata
c. ensures the content associated with the filtering metadata has successfully completed filtering
d. transfers the content to the destination filter pipeline",Control,Not selected,NA,NA,23
AC,05,ac-5,Separation of duties,"A. Identify and document [Assignment: organization-defined duties of individuals requiring separation].
B. Define system access authorizations to support separation of duties.",Control,Selected,NA,NA,23
AC,06,ac-6,Least privilege,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of
users) that are necessary to accomplish assigned organizational tasks.",Control,Selected,NA,NA,23
AC,06(01),ac-6.1,Least privilege,"Least privilege: Authorize access to security functions
Authorize access for [Assignment: organization-defined individuals or roles] to:
a. [Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]
b. [Assignment: organization-defined security-relevant information]",Control,Selected,NA,NA,23
AC,06(02),ac-6.2,Least privilege,"Least privilege: Non-privileged access for non-security functions
Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or
security-relevant information] use non-privileged accounts or roles, when accessing non-security functions.",Control,Selected,NA,NA,24
AC,06(03),ac-6.3,Least privilege,"Least privilege: Network access to privileged commands
Authorize network access to [Assignment: organization-defined privileged commands] only for [Assignment: organization-
defined compelling operational needs] and document the rationale for such access in the security plan for the system.",Control,Not selected,NA,NA,24
AC,06(04),ac-6.4,Least privilege,"Least privilege: Separate processing domains
Provide separate processing domains to enable finer-grained allocation of user privileges.",Control,Not selected,NA,NA,24
AC,06(05),ac-6.5,Least privilege,"Least privilege: Privileged accounts
Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].",Control,Selected,NA,NA,24
AC,06(06),ac-6.6,Least privilege,"Least privilege: Privileged access by non-organizational users
Prohibit privileged access to the system by non-organizational users.",Control,Not selected,NA,NA,24
AC,06(07),ac-6.7,Least privilege,"Least privilege: Review of user privileges
a. Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles
or classes of users] to validate the need for such privileges.
b. Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",Control,Selected,NA,NA,24
AC,06(08),ac-6.8,Least privilege,"Least privilege: Privilege levels for code execution
Prevent the following software from executing at higher privilege levels than users executing the software: [Assignment:
organization-defined software].",Control,Not selected,NA,NA,24
AC,06(09),ac-6.9,Least privilege,"Least privilege: Log use of privileged functions
Log the execution of privileged functions.",Control,Selected,NA,NA,24
AC,06(10),ac-6.10,Least privilege,"Least privilege: Prohibit non-privileged users from executing privileged functions
Prevent non-privileged users from executing privileged functions.",Control,Selected,NA,NA,24
AC,07,ac-7,Unsuccessful logon attempts,"A. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a
[Assignment: organization-defined time period].
B. Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period];
lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-
defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the
maximum number of unsuccessful attempts is exceeded.",Control,Selected,"A. number [of a maximum
of 5]
A. time period [period of at
least 5 minutes]",NA,24
AC,07(01),ac-7.1,Unsuccessful logon attempts,"Unsuccessful logon attempts: automatic account lock
Withdrawn: Incorporated into AC-07.",NA,NA,NA,NA,24
AC,07(02),ac-7.2,Unsuccessful logon attempts,"Unsuccessful logon attempts: Purge or wipe mobile device
Purge or wipe information from [Assignment: organization-defined mobile devices] based on [Assignment: organization-
defined purging or wiping requirements and techniques] after [Assignment: organization-defined number] consecutive,
unsuccessful device logon attempts.",Control,Not selected,NA,NA,24
AC,07(03),ac-7.3,Unsuccessful logon attempts,"Unsuccessful logon attempts: Biometric attempt limiting
Limit the number of unsuccessful biometric logon attempts to [Assignment: organization-defined number].",Control,Not selected,NA,NA,25
AC,07(04),ac-7.4,Unsuccessful logon attempts,"Unsuccessful logon attempts: Use of alternate authentication factor
a. Allow the use of [Assignment: organization-defined authentication factors] that are different from the primary
authentication factors after the number of organization-defined consecutive invalid logon attempts have been exceeded.
b. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts through use of the
alternative factors by a user during a [Assignment: organization-defined time period].",Control,Not selected,NA,NA,25
AC,08,ac-8,System use notification,"A. Display [Assignment: organization-defined system use notification message or banner] to users before granting access
to the system that provides privacy and security notices consistent with applicable laws, Orders in Council, directives,
regulations, policies, standards, and guidelines and state that:
1. users are accessing a Government of Canada system
2. system usage may be monitored, recorded, and subject to audit
3. unauthorized use of the system is prohibited and subject to criminal and civil penalties
4. the relevant Personal Information Bank reference, if applicable
5. legal authority for the collection of personal information
6. any legal or administrative consequences for refusing to provide the personal information
7. the rights of access to, correction and protection of personal information
8. how the information will be used
9. the right to file a complaint to the Privacy Commissioner of Canada regarding the institution’s handling of the
individual’s personal information
B. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit
actions to log on to or further access the system.
C. For publicly accessible systems:
1. display system use information [Assignment: organization-defined conditions], before granting further access to the
publicly accessible system
2. display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for
such systems that generally prohibit those activities
3. include a description of the authorized uses of the system",Control,Selected,NA,NA,25
AC,09,ac-9,Previous logon notification,"Notify the user, upon successful logon to the system, of the date and time of the last logon.",Control,Not selected,NA,NA,25
AC,09(01),ac-9.1,Previous logon notification,"Previous logon notification: Unsuccessful logons
Notify the user, upon successful logon, of the number of unsuccessful logon attempts since the last successful logon.",Control,Not selected,NA,NA,25
AC,09(02),ac-9.2,Previous logon notification,"Previous logon notification: Successful and unsuccessful logons
Notify the user, upon successful logon, of the number of [Selection (one): successful logons; unsuccessful logon
attempts; both] during [Assignment: organization-defined time period].",Control,Not selected,NA,NA,25
AC,09(03),ac-9.3,Previous logon notification,"Previous logon notification: Notification of account changes
Notify the user, upon successful logon, of changes to [Assignment: organization-defined security-related characteristics
or parameters of the user’s account] during [Assignment: organization-defined time period].",Control,Not selected,NA,NA,25
AC,09(04),ac-9.4,Previous logon notification,"Previous logon notification: Additional logon information
Notify the user, upon successful logon, of the following additional information: [Assignment: organization-defined
additional information].",Control,Not selected,NA,NA,26
AC,10,ac-10,Concurrent session control,"Limit the number of concurrent sessions for each [Assignment: organization-defined account and/or account type] to
[Assignment: organization-defined number].",Control,Not selected,NA,NA,26
AC,11,ac-11,Device lock,"A. Prevent further access to the system by [Selection (one or more): initiating a device lock after [Assignment:
organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system
unattended].
B. Retain the device lock until the user re-establishes access using established identification and authentication
procedures.",Control,Selected,NA,NA,26
AC,11(01),ac-11.1,Device lock,"Device lock: Pattern-hiding displays
Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",Control,Selected,NA,NA,26
AC,12,ac-12,Session termination,"Automatically terminate a user session after [Assignment: organization-defined conditions or trigger events requiring
session disconnect].",Control,Selected,NA,NA,26
AC,12(01),ac-12.1,Session termination,"Session termination: User-initiated logouts
Provide a logout capability for user-initiated communications sessions whenever authentication is used to gain access to
[Assignment: organization-defined information resources].",Control,Not selected,NA,NA,26
AC,12(02),ac-12.2,Session termination,"Session termination: Termination message
Display an explicit logout message to users indicating the termination of authenticated communications sessions.",Control,Not selected,NA,NA,26
AC,12(03),ac-12.3,Session termination,"Session termination: Timeout warning message
Display an explicit message to users indicating that the session will end in [Assignment: organization-defined time until
end of session].",Control,Not selected,NA,NA,26
AC,13,ac-13,Supervision and review — access control,Withdrawn: Incorporated into AC-02 and AU-06.,NA,NA,NA,NA,26
AC,14,ac-14,Permitted actions without identification or authentication,"A. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or
authentication consistent with organizational mission and business functions.
B. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification
or authentication.",Control,Selected,NA,NA,26
AC,14(01),ac-14.1,Permitted actions without identification or authentication,"Permitted actions without identification or authentication: Necessary uses
Withdrawn: Incorporated into AC-14.",NA,NA,NA,NA,26
AC,15,ac-15,Automated marking,Withdrawn: Incorporated into MP-03.,NA,NA,NA,NA,26
AC,16,ac-16,Security and privacy attributes,"A. Provide the means to associate [Assignment: organization-defined types of security and privacy attributes] with
[Assignment: organization-defined security and privacy attribute values] for information in storage, in process, and/or in
transmission.
B. Ensure that the attribute associations are made and retained with the information.
C. Establish the following permitted security and privacy attributes from the attributes defined in AC-16A for [Assignment:
organization-defined systems]: [Assignment: organization-defined security and privacy attributes].
D. Determine the following permitted attribute values or ranges for each of the established attributes: [Assignment:
organization-defined attribute values or ranges for established attributes].
E. Audit changes to attributes.
F. Review [Assignment: organization-defined security and privacy attributes] for applicability [Assignment: organization-
defined frequency].",Control,Selected,NA,"In the context of this
profile, the objective of
this control is to achieve
consistent labeling of
Protected B material to
the maximum extent
supported by available,
automated mechanisms
(for example, email
system enforcing
classification labels).
Since not all information
on the system will be
sensitive, labeling will help
prevent the accidental
distribution of Protected B
information by providing
filter mechanisms with a
differentiator.",27
AC,16(01),ac-16.1,Security and privacy attributes,"Security and privacy attributes: Dynamic attribute association
Dynamically associate security and privacy attributes with [Assignment: organization-defined subjects and objects] in
accordance with the following security and privacy policies as information is created and combined: [Assignment:
organization-defined security and privacy policies].",Control,Not selected,NA,NA,27
AC,16(02),ac-16.2,Security and privacy attributes,"Security and privacy attributes: Attribute value changes by authorized individuals
Provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of
associated security and privacy attributes.",Control,Selected,NA,NA,27
AC,16(03),ac-16.3,Security and privacy attributes,"Security and privacy attributes: Maintenance of attribute associations by system
Maintain the association and integrity of [Assignment: organization-defined security and privacy attributes] to
[Assignment: organization-defined subjects and objects].",Control,Not selected,NA,NA,27
AC,16(04),ac-16.4,Security and privacy attributes,"Security and privacy attributes: Association of attributes by authorized individuals
Provide the capability to associate [Assignment: organization-defined security and privacy attributes] with [Assignment:
organization-defined subjects and objects] by authorized individuals (or processes acting on behalf of individuals).",Control,Not selected,NA,NA,27
AC,16(05),ac-16.5,Security and privacy attributes,"Security and privacy attributes: Attribute displays on objects to be output
Display security and privacy attributes in human-readable form on each object that the system transmits to output
devices to identify [Assignment: organization-defined special dissemination, handling, or distribution instructions] using
[Assignment: organization-defined human-readable, standard naming conventions].",Control,Selected,NA,NA,27
AC,16(06),ac-16.6,Security and privacy attributes,"Security and privacy attributes: Maintenance of attribute association
Require personnel to associate and maintain the association of [Assignment: organization-defined security and privacy
attributes] with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-
defined security and privacy policies].",Control,Not selected,NA,NA,27
AC,16(07),ac-16.7,Security and privacy attributes,"Security and privacy attributes: Consistent attribute interpretation
Provide a consistent interpretation of security and privacy attributes transmitted between distributed system
components.",Control,Not selected,NA,NA,28
AC,16(08),ac-16.8,Security and privacy attributes,"Security and privacy attributes: Association techniques and technologies
Implement [Assignment: organization-defined techniques and technologies] in associating security and privacy attributes
to information.",Control,Not selected,NA,NA,28
AC,16(09),ac-16.9,Security and privacy attributes,"Security and privacy attributes: Attribute reassignment -- regrading mechanisms
Change security and privacy attributes associated with information only via regrading mechanisms validated using
[Assignment: organization-defined techniques or procedures].",Control,Not selected,NA,NA,28
AC,16(10),ac-16.10,Security and privacy attributes,"Security and privacy attributes: Attribute configuration by authorized individuals
Provide authorized individuals the capability to define or change the type and value of security and privacy attributes
available for association with subjects and objects.",Control,Not selected,NA,NA,28
AC,17,ac-17,Remote access,"A. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for
each type of remote access allowed.
B. Authorize each type of remote access to the system prior to allowing such connections.",Control,Selected,NA,NA,28
