family,number,id,name,description,type,status,placeholder_values,profile_notes,page
SC,18(04),sc-18.4,Mobile code,"Mobile code: Prevent automatic execution
Prevent the automatic execution of mobile code in [Assignment: organization-defined software applications] and enforce
[Assignment: organization-defined actions] prior to executing the code.",Control,Selected,NA,NA,128
SC,18(05),sc-18.5,Mobile code,"Mobile code: Allow execution only in confined environments
Allow execution of permitted mobile code only in confined virtual machine environments.",Control,Selected,NA,NA,129
SC,19,sc-19,Voice over internet protocol,"A. The organization establishes usage restrictions and implementation guidance for Voice over Internet Protocol (VoIP)
technologies based on the potential to cause damage to the information system if used maliciously.
B. The organization authorizes, monitors, and controls the use of VoIP within the information system.",Control,Not selected,NA,NA,129
SC,19(400),sc-19.400,Voice over internet protocol,"Voice over internet protocol: Protocol conversion
Unclassified VoIP is not permitted within classified facilities unless the VoIP is converted to plain old telephone systems
(POTS) before exiting the facility boundary.",Control,Not selected,NA,NA,129
SC,19(401),sc-19.401,Voice over internet protocol,"Voice over internet protocol: No public network access
Unclassified VoIP over a Local Area Network (LAN) with access to a public data network is not permitted within classified
facilities.",Control,Not selected,NA,NA,129
SC,20,sc-20,Secure name / address resolution service (authoritative source),"A. Provide additional data origin authentication and integrity verification artifacts along with the authoritative name
resolution data the system returns in response to external name/address resolution queries.
B. Provide the means to indicate the security status of child zones and (if the child supports secure resolution services) to
enable verification of a chain of trust among parent and child domains, when operating as part of a distributed,
hierarchical namespace.",Control,Selected,NA,NA,129
SC,20(01),sc-20.1,Secure name / address resolution service (authoritative source),"Secure name / address resolution service (authoritative source): Child subspaces
Withdrawn: Incorporated into SC-20.",NA,NA,NA,NA,129
SC,20(02),sc-20.2,Secure name / address resolution service (authoritative source),"Secure name / address resolution service (authoritative source): Data origin and integrity
Provide data origin and integrity protection artifacts for internal name/address resolution queries.",Control,Not selected,NA,NA,129
SC,21,sc-21,Secure name / address resolution service (recursive or caching resolver),"Request and perform data origin authentication and data integrity verification on the name/address resolution responses
the system receives from authoritative sources.",Control,Selected,NA,NA,129
SC,21(01),sc-21.1,Secure name / address resolution service (recursive or caching resolver),"Secure name / address resolution service (recursive or caching resolver): Data origin / integrity
Withdrawn: Incorporated into SC-21.",NA,NA,NA,NA,129
SC,22,sc-22,Architecture and provisioning for name / address resolution service,"Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and
implement internal and external role separation.",Control,Selected,NA,NA,130
SC,23,sc-23,Session authenticity,Protect the authenticity of communications sessions.,Control,Selected,NA,NA,130
SC,23(01),sc-23.1,Session authenticity,"Session authenticity: Invalidate session identifiers at logout
Invalidate session identifiers upon user logout or other session termination.",Control,Selected,NA,NA,130
SC,23(02),sc-23.2,Session authenticity,"Session authenticity: User-initiated logouts / message displays
Withdrawn: Incorporated into AC-12(01).",NA,NA,NA,NA,130
SC,23(03),sc-23.3,Session authenticity,"Session authenticity: Unique system-generated session identifiers
Generate a unique session identifier for each session with [Assignment: organization-defined randomness requirements]
and recognize only session identifiers that are system-generated.",Control,Selected,NA,NA,130
SC,23(04),sc-23.4,Session authenticity,"Session authenticity: Unique session identifiers with randomization
Withdrawn: Incorporated into SC-23(03).",NA,NA,NA,NA,130
SC,23(05),sc-23.5,Session authenticity,"Session authenticity: Allowed certificate authorities
Only allow the use of [Assignment: organization-defined certificate authorities] for verification of the establishment of
protected sessions.",Control,Not selected,NA,NA,130
SC,24,sc-24,Fail in known state,"Fail to a [Assignment: organization-defined known system state] for the following failures on the indicated components
while preserving [Assignment: organization-defined system state information] in failure: [Assignment: list of organization-
defined types of system failures on organization-defined system components].",Control,Not selected,NA,NA,130
SC,25,sc-25,Thin nodes,"Employ minimal functionality and information storage on the following system components: [Assignment: organization-
defined system components].",Control,Not selected,NA,NA,130
SC,26,sc-26,Decoys,"Include components within organizational systems specifically designed to be the target of malicious attacks for
detecting, deflecting, and analyzing such attacks.",Control,Not selected,NA,NA,130
SC,26(01),sc-26.1,Decoys,"Decoys: Detection of malicious code
Withdrawn: Incorporated into SC-35.",NA,NA,NA,NA,130
SC,27,sc-27,Platform- independent applications,"Include within organizational systems the following platform independent applications: [Assignment: organization-defined
platform-independent applications].",Control,Not selected,NA,NA,131
SC,28,sc-28,Protection of information at rest,"Protect the [Selection (one or more): confidentiality; integrity] of the following information at rest: [Assignment:
organization-defined information at rest].",Control,Selected,NA,NA,131
SC,28(01),sc-28.1,Protection of information at rest,"Protection of information at rest: Cryptographic protection
Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information
at rest on [Assignment: organization-defined system components or media]: [Assignment: organization-defined
information].",Control,Selected,NA,NA,131
