id,label,family,title,source,cccs_type,status,statement,parameter_values,gc_discussion,profile_note
cp-2.4,CP-2(4),CP,Resume All Mission and Business Functions,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cp-2.5,CP-2(5),CP,Continue mission and business functions,NIST SP 800-53 Rev. 5.2.0,control,,Plan for the continuance of [Selection (1): all; essential] mission and business functions with minimal or no loss of operational continuity and sustain that continuity until full system restoration at primary processing and/or storage sites.,,,
cp-2.6,CP-2(6),CP,Alternate processing and storage sites,NIST SP 800-53 Rev. 5.2.0,control,,Plan for the transfer of [Selection (1): all; essential] mission and business functions to alternate processing and/or storage sites with minimal or no loss of operational continuity and sustain that continuity through system restoration to primary processing and/or storage sites.,,,
cp-2.7,CP-2(7),CP,Coordinate with external service providers,NIST SP 800-53 Rev. 5.2.0,control,,Coordinate the contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.,,,
cp-2.8,CP-2(8),CP,Identify critical assets,NIST SP 800-53 Rev. 5.2.0,control,,Identify critical system assets supporting [Selection (1): all; essential] mission and business functions.,,,
cp-3,CP-3,CP,Contingency training,NIST SP 800-53 Rev. 5.2.0,control,,"A. Provide contingency training to system users consistent with assigned roles and responsibilities
1. within [Assignment: organization-defined time period] of assuming a contingency role or responsibility
2. when required by system changes
3. [Assignment: organization-defined frequency] thereafter
   B. Review and update contingency training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",,,
cp-3.1,CP-3(1),CP,Simulated events,NIST SP 800-53 Rev. 5.2.0,control,,Incorporate simulated events into contingency training to facilitate effective response by personnel in crisis situations.,,,
cp-3.2,CP-3(2),CP,Mechanisms used in training environments,NIST SP 800-53 Rev. 5.2.0,control,,Employ mechanisms used in operations to provide a more thorough and realistic contingency training environment.,,,
cp-4,CP-4,CP,Contingency plan testing,NIST SP 800-53 Rev. 5.2.0,control,,"A. Test the contingency plan for the system [Assignment: organization-defined frequency] using the following tests to determine the effectiveness of the plan and the readiness to execute the plan: [Assignment: organization-defined tests]
B. Review the contingency plan test results
C. Initiate corrective actions, if needed",,,
cp-4.1,CP-4(1),CP,Coordinate with related plans,NIST SP 800-53 Rev. 5.2.0,control,,Coordinate contingency plan testing with organizational elements responsible for related plans.,,,
cp-4.2,CP-4(2),CP,Alternate processing site,NIST SP 800-53 Rev. 5.2.0,control,,"Test the contingency plan at the alternate processing site to:
a. familiarize contingency personnel with the facility and available resources
b. evaluate the capabilities of the alternate processing site to support contingency operations",,,
cp-4.3,CP-4(3),CP,Automated testing,NIST SP 800-53 Rev. 5.2.0,control,,Test the contingency plan using [Assignment: organization-defined automated mechanisms].,,,
cp-4.4,CP-4(4),CP,Full recovery and reconstitution,NIST SP 800-53 Rev. 5.2.0,control,,Include a full recovery and reconstitution of the system to a known state as part of contingency plan testing.,,,
cp-4.5,CP-4(5),CP,Self-challenge,NIST SP 800-53 Rev. 5.2.0,control,,Employ [Assignment: organization-defined mechanisms] to [Assignment: organization-defined system or system component] to disrupt and adversely affect the system or system component.,,,
cp-5,CP-5,CP,Contingency Plan Update,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cp-6,CP-6,CP,Alternate storage site,NIST SP 800-53 Rev. 5.2.0,control,,"A. Establish an alternate storage site, including necessary agreements to permit the storage and retrieval of system backup information
B. Ensure that the alternate storage site provides controls equivalent to that of the primary site",,,
cp-6.1,CP-6(1),CP,Separation from primary site,NIST SP 800-53 Rev. 5.2.0,control,,Identify an alternate storage site that is sufficiently separated from the primary storage site to reduce susceptibility to the same threats.,,,
cp-6.2,CP-6(2),CP,Recovery time and recovery point objectives,NIST SP 800-53 Rev. 5.2.0,control,,Configure the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives.,,,
cp-6.3,CP-6(3),CP,Accessibility,NIST SP 800-53 Rev. 5.2.0,control,,Identify potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outline explicit mitigation actions.,,,
cp-7,CP-7,CP,Alternate processing site,NIST SP 800-53 Rev. 5.2.0,control,,"A. Establish an alternate processing site, including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable
B. Make available at the alternate processing site the equipment and supplies required to transfer and resume operations or put contracts in place to support delivery to the site within the organization-defined time period for transfer and resumption
C. Provide controls at the alternate processing site that are equivalent to those at the primary site",,,
cp-7.1,CP-7(1),CP,Separation from primary site,NIST SP 800-53 Rev. 5.2.0,control,,Identify an alternate processing site that is sufficiently separated from the primary processing site to reduce susceptibility to the same threats.,,,
cp-7.2,CP-7(2),CP,Accessibility,NIST SP 800-53 Rev. 5.2.0,control,,Identify potential accessibility problems to alternate processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.,,,
cp-7.3,CP-7(3),CP,Priority of service,NIST SP 800-53 Rev. 5.2.0,control,,Develop alternate processing site agreements that contain priority of service provisions in accordance with availability requirements (including recovery time objectives).,,,
cp-7.4,CP-7(4),CP,Preparation for use,NIST SP 800-53 Rev. 5.2.0,control,,Prepare the alternate processing site so that the site can serve as the operational site supporting essential mission and business functions.,,,
cp-7.5,CP-7(5),CP,Equivalent Information Security Safeguards,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
cp-7.6,CP-7(6),CP,Inability to return to primary site,NIST SP 800-53 Rev. 5.2.0,control,,Plan and prepare for circumstances that preclude returning to the primary processing site.,,,
cp-8,CP-8,CP,Telecommunications services,NIST SP 800-53 Rev. 5.2.0,control,,"Establish alternate telecommunications services, including necessary agreements to permit the resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period] when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.",,,
